Information listing created by	guest-lti
Date	30-Nov-2023 19:59:24
Current work part	C:\Users\guest-lti\Desktop\proj\model1_fem2.fem
Node name	jimmychoo


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 133 3 132 23 24 134
  2                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 180 4 120 25 26 121
  3                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 4 123 3 27 28 29
  4                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 4 180 123 25 126 27
  5                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 4 179 120 30 122 26
  6                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 133 4 3 31 29 23
  7                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 133 179 4 135 30 31
  8                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 7 6 1 32 33 34
  9                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 5 132 3 35 24 36
  10                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 132 7 131 37 38 136
  11                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 132 5 7 35 39 37
  12                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 7 2 131 40 41 38
  13                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 6 7 5 32 39 42
  14                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 1 2 7 43 40 34
  15                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 124 3 123 44 28 127
  16                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 8 124 125 45 128 46
  17                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 124 5 3 47 36 44
  18                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 124 8 5 45 48 47
  19                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 125 9 8 49 50 46
  20                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 9 181 139 51 142 52
  21                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 9 125 181 49 129 51
  22                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 139 10 9 53 54 52
  23                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 10 140 1 55 56 57
  24                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 10 139 140 53 143 55
  25                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 8 6 5 58 42 48
  26                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 9 6 8 59 58 50
  27                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 6 10 1 60 57 33
  28                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 6 9 10 59 54 60
  29                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 11 160 161 61 164 62
  30                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 171 176 12 63 64 65
  31                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 171 187 176 172 177 63
  32                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 160 176 186 66 178 165
  33                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 12 160 11 67 61 68
  34                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 12 176 160 64 66 67
  35                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 147 15 146 69 70 150
  36                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 15 155 156 71 157 72
  37                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 15 147 155 69 73 71
  38                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 13 185 169 74 173 75
  39                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 16 13 14 76 77 78
  40                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 185 16 156 79 80 158
